Serial_Number,Sex,Age,Ethnic_Origin,Place_Of_Birth,District_Child,School_Type_Child,Education_Type_Child,Child_Has_First_Degree,Child_Has_Second_Degree,Child_Has_Third_Degree,Work_Type_Child,Education_Type_Dad,First_Degree_Dad,Second_Degree_Dad,Third_Degree_Dad,Work_Type_Dad,Closeness_To_Dad,First_Degree_Mom,Second_Degree_Mom,Third_Degree_Mom,Closeness_To_Mom,Child_Ed_Business,Child_Ed_Reali,Child_Ed_Humani,Child_Ed_Design,Child_Ed_Tipuli,Child_Ed_Refua,Dad_Ed_Business,Dad_Ed_Reali,Dad_Ed_Humani,Dad_Ed_Design,Dad_Ed_Tipuli,Dad_Ed_Refua,Mom_Ed_Business,Mom_Ed_Reali,Mom_Ed_Humani,Mom_Ed_Design,Mom_Ed_Tipuli,Mom_Ed_Refua
1,Female,27,Ashkenazi,Israel,Jerusalem,State,STEM and Design,1,0,0,Engineering and Programming,Design,1,0,0,Design,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Female,28,Ashkenazi,Israel,North,State,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Mangement,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Male,27,Ashkenazi,Israel,Center,State,Business Mangement,1,0,0,Finance,Liberal Arts,1,1,0,Human Resources,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Male,30,Ashkenazi,Israel,Tel Aviv,State,STEM,1,0,0,Engineering and Programming,Business Mangement,1,1,0,Education,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Female,30,Ashkenazi,Israel,North,Other,STEM,1,0,0,Engineering and Programming,STEM,0,0,0,Engineering and Programming,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Female,28,Ashkenazi,Israel,Tel Aviv,State,Liberal Arts,1,0,0,Art/Music,Business Mangement,1,0,0,General Business,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Female,26,Ashkenazi,Israel,Center,State,Other,1,0,0,Design,Liberal Arts,1,1,0,Administration,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Male,26,Mixed,Israel,Center,State,Other,0,0,0,Design,None,0,0,0,Mangement,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Female,25,Mixed,Israel ,Center,State,Design,1,0,0,Design,STEM,0,0,0,Information Systems,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Male,30,Ashkenazi,Israel,Center,State,Other,0,1,0,Academy,STEM,1,0,0,Engineering and Programming,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Female,27,Ashkenazi,Israel,West Bank,State-Religious,Other,1,0,0,Law,STEM,1,1,0,Engineering and Programming,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Male,27,Mizrachi,Israel,Jerusalem,Orthodox,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Male,25,Mizrachi,Israel,Jerusalem,State,Other,0,1,0,Engineering and Programming,None,0,0,0,Other,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Female,25,Soviet Union,Israel,North,State,Other,1,0,0,Engineering and Programming,STEM,1,1,0,Engineering and Programming,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Male,23,Mizrachi,Israel,Jerusalem,State,Other,0,0,0,Engineering and Programming,Law,1,0,0,Law,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Female,27,Ashkenazi,Israel,Center,State,Other,1,0,0,Engineering and Programming,None,0,0,0,Catering,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Female,26,Mizrachi,Israel,West Bank,Private,Design,1,0,0,Design,Liberal Arts,1,1,0,Education,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Male,25,Mizrachi,Israel ,Center,State-Religious,Other,1,0,0,Engineering and Programming,Law,1,1,0,Law,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Male,41,Ashkenazi ,Israel,Jerusalem,State-Religious,Other,0,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Female,32,Ashkenazi,United States,Jerusalem,State-Religious,Other,0,0,0,Education,Liberal Arts,1,1,0,Finance,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
