Timestamp,Sex,Age,Work_Type_Child,Work_Category_Child,Work_Type_Dad,Work_Category_Dad,Work_Type_Mom,Work_Category_Mom,Closeness_To_Dad,Closeness_To_Mom,Serial_Number,Social_Work_Place_Child,Work_Life_Balance_Child,Social_Influence_Child,Diversed_Job_Child,Office_Nature_Child,Job_Security_Child,Specific_Training_Child,Social_Benefits_Child,Working_Hours_Child,Social_Work_Place_Dad,Work_Life_Balance_Dad,Social_Influence_Dad,Diversed_Job_Dad,Office_Nature_Dad,Job_Security_Dad,Specific_Training_Dad,Social_Benefits_Dad,Working_Hours_Dad,Social_Work_Place_Mom,Work_Life_Balance_Mom,Social_Influence_Mom,Diversed_Job_Mom,Office_Nature_Mom,Job_Security_Mom,Specific_Training_Mom,Social_Benefits_Mom,Working_Hours_Mom
2024-01-14 13:00:07,Female,27,Engineering and Programming,Technology,Design,Creative,Medicine,Care giving,5,5,1,3,1,1,2,1,1,1,1,3,1,1,2,2,1,2,2,2,3,2,2,1,3,3,3,2,1,2
2024-01-14 13:18:02,Female,28,Engineering and Programming,Technology,Management,Business,Design,Creative,5,5,2,3,1,1,2,1,1,1,1,3,1,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,3
2024-01-14 13:19:31,Male,27,Finance,Business,Human Resources,Business,Art/Music,Creative,5,5,3,3,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,3,3,1,1,2,1,1,1,1,2,3
2024-01-14 13:20:25,Male,30,Engineering and Programming,Technology,Education,Education,Medicine,Care giving,5,5,4,3,1,1,2,1,1,1,1,3,2,1,2,1,2,2,3,2,2,2,2,1,3,3,3,2,1,2
2024-01-14 13:28:25,Female,30,Engineering and Programming,Technology,Engineering and Programming,Technology,Engineering and Programming,Technology,4,4,5,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3
2024-01-14 13:35:11,Female,28,Art/Music,Creative,General Business,Business,Therapeutic,Care giving,5,5,6,1,1,2,1,1,1,1,2,3,3,1,2,2,1,1,1,2,2,3,2,2,3,3,2,2,2,2
2024-01-14 13:35:13,Female,26,Design,Creative,Administration,Business,Therapeutic,Care giving,5,5,7,1,1,2,2,1,2,2,2,3,2,3,1,1,2,3,2,2,1,3,2,2,3,3,2,2,2,2
2024-01-14 13:35:45,Male,26,Design,Creative,Management,Business,Education,Education,5,5,8,1,1,2,2,1,2,2,2,3,1,2,1,1,2,2,2,1,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:36:58,Female,25,Design,Creative,Information Systems,Technology,Communication/Language,Creative,4,4,9,1,1,2,2,1,2,2,2,3,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,3
2024-01-14 13:37:48,Male,30,Academy,Education,Engineering and Programming,Technology,Therapeutic,Care giving,4,3,10,3,2,2,1,1,3,2,2,2,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 13:38:12,Female,27,Law,Business,Engineering and Programming,Technology,Education,Education,3,4,11,1,1,1,1,2,1,1,3,3,3,1,1,2,1,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:38:39,Male,27,Engineering and Programming,Technology,Engineering and Programming,Technology,Education,Education,4,4,12,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:38:41,Female,25,Engineering and Programming,Technology,Engineering and Programming,Technology,Therapeutic,Care giving,3,3,14,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 13:38:44,Male,23,Engineering and Programming,Technology,Law,Business,Education,Education,4,4,15,3,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,3,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:39:34,Female,27,Engineering and Programming,Technology,Catering,Customer service,Information Systems,Technology,5,4,16,3,1,1,2,1,1,1,1,3,1,2,2,3,1,2,3,2,2,2,2,1,2,1,2,2,2,2
2024-01-14 13:39:45,Female,26,Design,Creative,Education,Education,Information Systems,Technology,5,5,17,1,1,2,2,1,2,2,2,3,2,1,2,1,2,2,3,2,2,2,2,1,2,1,2,2,2,2
2024-01-14 13:39:50,Male,25,Engineering and Programming,Technology,Law,Business,Law,Business,5,5,18,3,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,3,3,1,1,1,1,2,1,1,3,3
2024-01-14 13:39:51,Male,41,Engineering and Programming,Technology,Engineering and Programming,Technology,Therapeutic,Care giving,3,3,19,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 13:40:32,Female,32,Education,Education,Finance,Business,Education,Education,5,5,20,2,1,2,1,2,2,3,2,2,3,1,2,2,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:40:40,Female,33,Engineering and Programming,Technology,Sales and Marketing,Business,Management,Business,5,5,21,3,1,1,2,1,1,1,1,3,1,1,2,1,2,3,2,2,2,1,2,1,1,2,2,2,1,2
2024-01-14 13:40:43,Female,27,Design,Creative,Traditional,Manual labor,Art/Music,Creative,4,5,22,1,1,2,2,1,2,2,2,3,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,3
2024-01-14 13:41:57,Female,26,Therapeutic,Care giving,Management,Business,Management,Business,5,5,25,3,2,2,3,3,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2
2024-01-14 13:42:02,Female,33,Education,Education,Management,Business,Finance,Business,5,5,26,2,1,2,1,2,2,3,2,2,1,2,1,1,2,2,2,1,2,3,1,2,2,1,1,1,2,2
2024-01-14 13:42:15,Female,33,Therapeutic,Care giving,Academy,Education,Education,Education,5,5,27,3,2,2,3,3,2,2,2,2,3,2,2,1,1,3,2,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:42:16,Female,27,Engineering and Programming,Technology,National Defense Services,Defence,National Defense Services,Defence,5,2,28,3,1,1,2,1,1,1,1,3,2,1,2,3,2,3,2,2,2,2,1,2,3,2,3,2,2,2
2024-01-14 13:42:28,Female,54,Medicine,Care giving,Medicine,Care giving,Education,Education,5,4,29,2,2,1,3,3,3,2,1,2,2,2,1,3,3,3,2,1,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:42:28,Female,28,Finance,Business,Law,Business,Medicine,Care giving,4,5,30,3,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,3,3,2,2,1,3,3,3,2,1,2
2024-01-14 13:42:59,Male,29,Art/Music,Creative,Art/Music,Creative,Art/Music,Creative,3,4,31,1,1,2,1,1,1,1,2,3,1,1,2,1,1,1,1,2,3,1,1,2,1,1,1,1,2,3
2024-01-14 13:43:33,Female,27,Sales and Marketing,Business,Religion,Religion,Education,Education,4,4,32,1,1,2,1,2,3,2,2,2,2,1,1,2,2,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:43:56,Male,28,Engineering and Programming,Technology,Finance,Business,Education,Education,5,5,33,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:44:30,Female,27,Therapeutic,Care giving,National Defense Services,Defence,Therapeutic,Care giving,5,5,34,3,2,2,3,3,2,2,2,2,2,1,2,3,2,3,2,2,2,3,2,2,3,3,2,2,2,2
2024-01-14 13:44:30,Male,23,Engineering and Programming,Technology,Communication/Language,Creative,Education,Education,2,5,35,3,1,1,2,1,1,1,1,3,1,2,2,2,1,2,2,2,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:44:53,Female,24,Design,Creative,Human Resources,Business,Education,Education,4,5,36,1,1,2,2,1,2,2,2,3,1,2,1,2,2,2,2,3,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:45:02,Female,27,Engineering and Programming,Technology,Consulting,Customer service,Design,Creative,4,4,37,3,1,1,2,1,1,1,1,3,3,1,3,3,1,1,1,2,2,1,1,2,2,1,2,2,2,3
2024-01-14 13:45:04,Female,26,Design,Creative,Physical Work,Manual labor,Management,Business,4,5,38,1,1,2,2,1,2,2,2,3,3,3,2,3,3,3,2,2,2,1,2,1,1,2,2,2,1,2
2024-01-14 13:45:25,Female,27,Management,Business,Transportation,Customer service,Finance,Business,5,5,39,1,2,1,1,2,2,2,1,2,1,3,1,2,2,2,2,1,2,3,1,2,2,1,1,1,2,2
2024-01-14 13:45:35,Female,36,Art/Music,Creative,National Defense Services,Defence,Therapeutic,Care giving,4,5,40,1,1,2,1,1,1,1,2,3,2,1,2,3,2,3,2,2,2,3,2,2,3,3,2,2,2,2
2024-01-14 13:46:24,Male,27,Consulting,Customer service,Traditional,Manual labor,Engineering and Programming,Technology,4,4,41,3,1,3,3,1,1,1,2,2,1,1,2,1,1,2,2,2,2,3,1,1,2,1,1,1,1,3
2024-01-14 13:46:25,Female,22,Engineering and Programming,Technology,Finance,Business,Finance,Business,3,5,42,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2,3,1,2,2,1,1,1,2,2
